,会社名,キャッチコピー,肩書,初年度年収
34,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,宮崎限定募集【総合職(資格取得アドバイザー・システム営業)】 正社員,正社員,350万円～550万円
35,中西不動産株式会社 | 地域最大級の物件情報を保有！地域密着で長いお付き合いが可能！,"＼稼ぎたい方必見！／年収1,000万円以上も可能◎【不動産営業】 正社員",正社員,300万円～1000万円
36,株式会社崎山組 | 資格取得すれば月収60万円も可能！コロナの影響を受けず業績好調,【機械オペレーター】☆高収入！1回の賞与で100万円の実績あり 正社員,正社員,300万円～600万円
37,"中村総業株式会社 | ★豊橋市,水道局,大手ハウスメーカーと取引 ★賞与年2＋決算賞与",”機械化できない仕事”に挑戦【現場管理スタッフ】★土日祝休み 正社員,正社員,400万円～650万円
38,株式会社トラスト不動産 | 【ハウスドゥ北大路大宮店】6月OPEN！決算賞与あり！公休は110日,不動産業界経験が活かせる【不動産営業】研修充実！オープニング 正社員,正社員,400万円～800万円
39,東葉技建株式会社 | 《WEB面接OK》頑張りは賞与で還元、年収1000万円超え多数在籍中,前給考慮＊月給28万円～【建築施工管理】賞与実績6ヵ月支給！ 正社員,正社員,600万円～1000万円
40,株式会社Flawless | 充実の研修で未経験も安心スタート◎20代30代の男性活躍中！,専門スキルを磨く【鑑定スタッフ】働きやすさ抜群＆基本定時退社 正社員,正社員,300万円～700万円
41,株式会社アライブインテリア | 【元請け：森ビル案件9割】★残業月25h程度★資格取得支援が充実,＼育成枠＝未経験でOK／【内装施工管理】★面接確約★土日祝休み 正社員,正社員,300万円～450万円
42,株式会社GoodWorkJapan | 年間休日125日以上/完全週休2日制/20代～30代活躍中！,月給28万円以上保証★残業少なめ★営業経験者募集★【法人営業】 正社員,正社員,430万円～650万円
43,株式会社丸井工文社 | <創業70年の老舗印刷会社>官公庁・大手出版社・教育機関と直取引,未経験から始める【ルート営業】★飛び込み・ノルマなし 正社員,正社員,300万円～400万円
44,株式会社ボンドエステート | ー★がっつり稼ぐかプライベート重視か両立か…選べる働き方★ー,不動産物件の仕入れ業務を行う【営業】＊残業ほぼ0＊土日祝休み 正社員,正社員,300万円～1200万円
45,株式会社平山 | 東証JASDAQ上場：平山ホールディングスグループ｜年休120日以上,エリア限定！大手メーカーの【製造スタッフ】月給32万円以上 正社員,正社員,400万円～600万円
46,イオングリーン電力株式会社 | ★新拠点の立ち上げに携わるチャンスも★ 平均月収50万円,月給30.5万円以上★未経験OK【 営業マネージャー(管理責任者) 】 正社員,正社員,400万円～600万円
47,株式会社RASTAQ | IKEAやイトーヨーカドーなどの看板施工を数多く手掛けています,街を彩る大型広告の【 取り付けスタッフ 】*20代の若手社員多数 正社員,正社員,
48,株式会社B2 | 名古屋本社・静岡支社の2拠点で同時募集！,※〆切間近※片付け・整理◎/未経験でも高月給が叶う◎【営業】 正社員,正社員,350万円～500万円
49,有限会社新潟機械商行 | ★社用車貸与＆ガソリンカード支給★長期1週間ほどの休暇もOK★,【進行管理スタッフ】★未経験歓迎 ★月給25万円～★年113日休 正社員,正社員,375万円～500万円
